Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Phospholipase Activity (GO:0004620)	1/77	1.497104e-01	2.333720e-01	0	0	6.380616e+00	1.211713e+01	CLC
GO_Molecular_Function_2023	Phosphatase Activity (GO:0016791)	1/83	1.604102e-01	2.429069e-01	0	0	5.911957e+00	1.081901e+01	PSPH
GO_Molecular_Function_2023	mRNA 3'-UTR Binding (GO:0003730)	1/93	1.779519e-01	2.619848e-01	0	0	5.266702e+00	9.091602e+00	IGF2BP2
GO_Molecular_Function_2023	Protein Kinase Regulator Activity (GO:0019887)	1/103	1.951357e-01	2.792571e-01	0	0	4.747967e+00	7.758465e+00	PRKAR2B
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Activity (GO:0004197)	1/106	2.002220e-01	2.792571e-01	0	0	4.611614e+00	7.416990e+00	CLC
GO_Molecular_Function_2023	Protein Kinase Binding (GO:0019901)	2/511	2.914580e-01	3.960840e-01	0	0	1.910511e+00	2.355391e+00	PRKAR2B;TRIM58
GO_Molecular_Function_2023	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	1/228	3.824815e-01	5.067880e-01	0	0	2.120017e+00	2.037495e+00	IFI27
GO_Molecular_Function_2023	G Protein-Coupled Receptor Activity (GO:0004930)	1/250	4.107198e-01	5.257800e-01	0	0	1.930551e+00	1.717890e+00	ADGRG7
GO_Molecular_Function_2023	GTPase Activity (GO:0003924)	1/265	4.292463e-01	5.257800e-01	0	0	1.819475e+00	1.538775e+00	GNG11
GO_Molecular_Function_2023	Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111)	1/270	4.352945e-01	5.257800e-01	0	0	1.785203e+00	1.484811e+00	GNG11
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Binding (GO:0031625)	1/271	4.364966e-01	5.257800e-01	0	0	1.778500e+00	1.474332e+00	PRKAR2B
GO_Molecular_Function_2023	DNA-binding Transcription Factor Binding (GO:0140297)	1/282	4.495560e-01	5.273641e-01	0	0	1.707925e+00	1.365477e+00	IFI27
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	1/289	4.577122e-01	5.273641e-01	0	0	1.665820e+00	1.301863e+00	PRKAR2B
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Activity (GO:0061630)	1/311	4.825854e-01	5.314614e-01	0	0	1.545869e+00	1.126316e+00	TRIM58
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Activity (GO:0061659)	1/319	4.913511e-01	5.314614e-01	0	0	1.506366e+00	1.070418e+00	TRIM58
