probe_id,regulation,log2FoldChange,fold_change,fold_change_direction,pvalue,padj,significance,baseMean,mean_sd,mean_ns
7911229,Upregulated,0.6639068564681212,1.5843673283447202,1.58x ↑,6.911646858678129e-07,3.1438753037388325e-05,***,7.0524274754847305,7.384380903718791,6.720474047250669
7911231,Upregulated,0.6637034378247089,1.5841439497905214,1.58x ↑,6.894157538851136e-07,3.1438753037388325e-05,***,7.053139615176937,7.384991334089291,6.721287896264582
8173135,Upregulated,0.6606851502338227,1.5808331989047666,1.58x ↑,1.8052863459161511e-12,1.09684040416877e-09,***,10.61138247293917,10.941725048056082,10.281039897822259
8071044,Downregulated,-0.6435043007287193,1.5621189356933387,1.56x ↓,3.020684533609837e-10,6.944308822401426e-08,***,5.337594983621296,5.015842833256936,5.659347133985655
7919403,Upregulated,0.6433467514021562,1.5619483540100336,1.56x ↑,5.46414636664361e-05,0.0010808843952248965,**,3.0602362179965077,3.3819095936975856,2.7385628422954293
8093950,Downregulated,-0.632626892630828,1.5503854027722397,1.55x ↓,4.189124858865767e-05,0.0008945208464377221,***,6.784765187236991,6.468451740921577,7.101078633552405
7898998,Upregulated,0.6272947022518753,1.5446657659779792,1.54x ↑,4.47853791501044e-08,3.593815425007434e-06,***,5.346878882590987,5.660526233716925,5.0332315314650495
8138545,Upregulated,0.626252723757144,1.543550542472871,1.54x ↑,5.7516487641503774e-09,8.292122777603917e-07,***,7.063952936322881,7.377079298201453,6.750826574444309
8168357,Upregulated,0.6203535965951339,1.5372519070807844,1.54x ↑,2.2175566851049472e-07,1.2144127094994027e-05,***,9.212118308325131,9.522295106622698,8.901941510027564
8160557,Upregulated,0.61369197648294,1.5301700350230474,1.53x ↑,2.3412533385570945e-07,1.268452286481952e-05,***,8.930464910286403,9.237310898527873,8.623618922044933
8071051,Downregulated,-0.6083796235063552,1.5245459389039957,1.52x ↓,4.198673347460772e-10,8.928478873375331e-08,***,5.522530031443229,5.2183402196900515,5.826719843196407
8013272,Downregulated,-0.60777370253067,1.52390577561318,1.52x ↓,1.4021193626661215e-08,1.6392542456086477e-06,***,5.450228522384368,5.146341671119033,5.754115373649703
7991754,Upregulated,0.6035114316122145,1.51941022129757,1.52x ↑,0.0006605977835618029,0.006713895383149127,**,5.253626552713564,5.555382268519671,4.951870836907457
8007921,Upregulated,0.5973572218638257,1.512942566574939,1.51x ↑,6.694670163738531e-10,1.3242991723897663e-07,***,6.571169149421848,6.86984776035376,6.272490538489935
8036755,Upregulated,0.5906766418185541,1.505952892336076,1.51x ↑,1.0156138664134766e-07,6.8022138170968755e-06,***,7.850891838676146,8.146230159585423,7.555553517766869
8102998,Upregulated,0.5860289612903742,1.5011092311342549,1.50x ↑,0.00012283625586566462,0.0019136358835042915,**,5.23543560476659,5.5284500854117775,4.942421124121403
7909283,Upregulated,0.5856600440875752,1.5007254256842335,1.50x ↑,2.3692356697196527e-08,2.2619643889768336e-06,***,7.3964068951579325,7.68923691720172,7.103576873114145
8100971,Upregulated,0.5771900521760589,1.4919405532373389,1.49x ↑,4.05191054778981e-08,3.3139952999519345e-06,***,9.890814411605355,10.179409437693385,9.602219385517326
8112376,Upregulated,0.5685749489851251,1.4830579266222843,1.48x ↑,1.0335388594498215e-07,6.868188701937642e-06,***,5.118056794738567,5.402344269231129,4.833769320246004
8169709,Upregulated,0.5665976480426309,1.4810266981787463,1.48x ↑,6.142233883084526e-09,8.707640234919497e-07,***,8.532424657798902,8.815723481820218,8.249125833777587
8102410,Upregulated,0.5664589057730502,1.4808842764475585,1.48x ↑,1.7385766977532617e-07,1.0475605018131913e-05,***,9.553447033025986,9.83667648591251,9.27021758013946
8007797,Upregulated,0.5627194599837946,1.4770508149687636,1.48x ↑,1.6085363807269388e-07,9.843316873714634e-06,***,9.936142200361466,10.217501930353363,9.654782470369568
7976443,Upregulated,0.5595149924532636,1.4737736783869961,1.47x ↑,0.0002710975840810102,0.0035058014542028717,**,5.061644156249962,5.341401652476594,4.78188666002333
7972577,Upregulated,0.5547974920904082,1.4689624238020733,1.47x ↑,1.4870815467846957e-07,9.187453373216125e-06,***,9.54508606679082,9.822484812836024,9.267687320745615
8162719,Upregulated,0.5474495317704573,1.4614996987503766,1.46x ↑,1.6139059151938665e-09,2.691741904831182e-07,***,7.089640574197593,7.363365340082821,6.815915808312364
8081298,Downregulated,-0.5411320321449571,1.455113846226867,1.46x ↓,0.0018357195244556592,0.013709069600544195,*,2.591953216474052,2.3213872004015736,2.8625192325465307
8126269,Upregulated,0.5398487577986542,1.4538201008553742,1.45x ↑,6.64766592582421e-09,9.269679731977169e-07,***,6.556067833620746,6.825992212520074,6.28614345472142
7956114,Upregulated,0.5397548360965967,1.4537254579752577,1.45x ↑,2.0766388651596134e-07,1.1775926791365113e-05,***,9.214843426914626,9.484720844962924,8.944966008866327
8043436,Upregulated,0.5391225049787973,1.4530884318558521,1.45x ↑,1.4905579185325948e-07,9.187453373216125e-06,***,5.866691269000933,6.136252521490332,5.597130016511534
8063478,Upregulated,0.5259425642888118,1.439873993972251,1.44x ↑,1.2714229823143847e-13,1.8024539812610262e-10,***,8.546449637489431,8.809420919633837,8.283478355345025
8117034,Upregulated,0.5235342538394887,1.4374723978011708,1.44x ↑,2.438208727564015e-07,1.3043649960163216e-05,***,7.677144975251034,7.938912102170779,7.41537784833129
8135378,Upregulated,0.5222245267973316,1.4361680042256717,1.44x ↑,1.1834413887648294e-08,1.5364911823468418e-06,***,7.09845922177238,7.359571485171045,6.837346958373714
8137464,Upregulated,0.5145274559801232,1.4285261599952097,1.43x ↑,0.0001733191334918318,0.002511503491450633,**,4.53941110329508,4.796674831285142,4.282147375305019
7991758,Upregulated,0.5106899226452768,1.4247313648035935,1.42x ↑,7.189399924093157e-05,0.0013173511170915886,**,8.647491733756581,8.90283669507922,8.392146772433943
8038877,Downregulated,-0.506818862767572,1.420913629508744,1.42x ↓,9.13020498170428e-12,4.568324916139801e-09,***,8.295111676812102,8.041702245428315,8.548521108195887
8149248,Downregulated,-0.5028929337619754,1.4170522293891517,1.42x ↓,1.3938045418623158e-07,8.914061227880343e-06,***,5.59393989349195,5.342493426610963,5.845386360372938
