Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Nucleocytoplasmic Transport (GO:0046822)	1/16	2.608529e-02	7.678628e-02	0	0	4.156667e+01	1.515680e+02	IFI27
GO_Biological_Process_2023	Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861)	1/17	2.769353e-02	7.928696e-02	0	0	3.896680e+01	1.397566e+02	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	1/17	2.769353e-02	7.928696e-02	0	0	3.896680e+01	1.397566e+02	HLA-DRB1
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	2/159	2.822700e-02	7.972220e-02	0	0	8.140538e+00	2.904118e+01	PPBP;PF4V1
GO_Biological_Process_2023	Regulation Of T Cell Cytokine Production (GO:0002724)	1/18	2.929920e-02	8.164709e-02	0	0	3.667279e+01	1.294621e+02	CLC
GO_Biological_Process_2023	Regulation Of Cytokine Production (GO:0001817)	2/167	3.089569e-02	8.280229e-02	0	0	7.742717e+00	2.692250e+01	IGF2BP2;HLA-DRB1
GO_Biological_Process_2023	Heme Biosynthetic Process (GO:0006783)	1/19	3.090229e-02	8.280229e-02	0	0	3.463368e+01	1.204187e+02	ALAS2
GO_Biological_Process_2023	Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635)	1/19	3.090229e-02	8.280229e-02	0	0	3.463368e+01	1.204187e+02	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	2/175	3.366095e-02	8.382587e-02	0	0	7.381689e+00	2.503439e+01	TRIM58;HLA-DRB1
GO_Biological_Process_2023	Macrophage Differentiation (GO:0030225)	1/21	3.410078e-02	8.382587e-02	0	0	3.116719e+01	1.052963e+02	HLA-DRB1
GO_Biological_Process_2023	Porphyrin-Containing Compound Biosynthetic Process (GO:0006779)	1/21	3.410078e-02	8.382587e-02	0	0	3.116719e+01	1.052963e+02	ALAS2
GO_Biological_Process_2023	Modulation By Host Of Viral Genome Replication (GO:0044827)	1/21	3.410078e-02	8.382587e-02	0	0	3.116719e+01	1.052963e+02	IFI27
GO_Biological_Process_2023	Modulation By Symbiont Of Entry Into Host (GO:0052372)	1/21	3.410078e-02	8.382587e-02	0	0	3.116719e+01	1.052963e+02	TRIM58
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)	1/21	3.410078e-02	8.382587e-02	0	0	3.116719e+01	1.052963e+02	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Protein Export From Nucleus (GO:0046825)	1/22	3.569618e-02	8.382587e-02	0	0	2.968155e+01	9.892003e+01	IFI27
GO_Biological_Process_2023	Glucose Transmembrane Transport (GO:1904659)	1/22	3.569618e-02	8.382587e-02	0	0	2.968155e+01	9.892003e+01	PPBP
GO_Biological_Process_2023	Modulation By Host Of Viral Process (GO:0044788)	1/22	3.569618e-02	8.382587e-02	0	0	2.968155e+01	9.892003e+01	IFI27
GO_Biological_Process_2023	Hexose Transmembrane Transport (GO:0008645)	1/22	3.569618e-02	8.382587e-02	0	0	2.968155e+01	9.892003e+01	PPBP
GO_Biological_Process_2023	Positive Regulation Of Viral Life Cycle (GO:1903902)	1/22	3.569618e-02	8.382587e-02	0	0	2.968155e+01	9.892003e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Interleukin-4 Production (GO:0032673)	1/23	3.728903e-02	8.564184e-02	0	0	2.833097e+01	9.318213e+01	HLA-DRB1
GO_Biological_Process_2023	Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460)	1/23	3.728903e-02	8.564184e-02	0	0	2.833097e+01	9.318213e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Cytokine Production Involved In Immune Response (GO:0002718)	1/24	3.887933e-02	8.737398e-02	0	0	2.709783e+01	8.799457e+01	CLC
GO_Biological_Process_2023	Regulation Of Viral Life Cycle (GO:1903900)	1/24	3.887933e-02	8.737398e-02	0	0	2.709783e+01	8.799457e+01	TRIM58
GO_Biological_Process_2023	Metallo-Sulfur Cluster Assembly (GO:0031163)	1/27	4.363495e-02	9.401758e-02	0	0	2.396755e+01	7.506389e+01	GLRX5
GO_Biological_Process_2023	Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0061178)	1/27	4.363495e-02	9.401758e-02	0	0	2.396755e+01	7.506389e+01	HLA-DRB1
